simulation_index,ct,vt,infections,deaths,hospitalisations,YLLs,YLL_cost,discounted_costs,discounted_DALYs,cost_of_DALYs,discounted_doses,base_costs,base_DALYs,incremental_costs,incremental_DALYs,threshold_price,ct_n
75,1,1,95359085046.56664,26538234.38602372,109924310.980685,505540277.48484224,5944070053650.935,119514581130.4408,353798556.1563284,4241396399118.7954,10923540756.063541,137284061439.59607,4589271138854.523,17769480309.155273,347874739735.728,33.47304946355586,0-5
75,1,2,89338529788.70078,24736885.23033523,100920618.67928669,462309266.8822793,5731394467239.094,114058821862.4335,324616765.5742166,4092289035105.1304,9188697871.065077,137284061439.59607,4589271138854.523,23225239577.162567,496982103749.39307,56.613826096586806,0-5
75,1,3,71189023574.50526,19371415.7507262,75968416.37142771,342257800.02378637,5059966247710.9795,97212468218.9343,244343640.47401723,3626863250807.916,7582053131.20603,137284061439.59607,4589271138854.523,40071593220.66177,962407888046.6074,132.21741709264586,0-5
75,1,4,67356971214.53153,18206428.33009682,73467320.43155189,319070421.9945486,4940343404389.97,96856809418.75005,229984497.0002417,3552605974673.1787,6760205210.603569,137284061439.59607,4589271138854.523,40427252020.84602,1036665164181.3447,159.32836099601556,0-5
75,1,5,45836766933.77157,12031105.419685986,48529668.3823956,198403762.83272192,4009159424236.9033,77028701449.30565,148311042.66548413,2924369225227.602,5912934240.343509,137284061439.59607,4589271138854.523,60255359990.29042,1664901913626.9214,291.75992891085997,0-5
75,2,1,73907542911.85825,20478556.467887007,88984025.39669508,383946752.49331194,4998848639130.06,100944667500.55748,270151426.08767295,3558219536581.8174,23679607756.171497,137284061439.59607,4589271138854.523,36339393939.03859,1031051602272.706,45.07637994694215,0-12
75,2,2,60002666356.85207,16378269.910125453,71196284.54264608,295373579.12036777,4498644636455.86,89765922739.1917,209202045.9966833,3202464719020.396,17842114729.520954,137284061439.59607,4589271138854.523,47518138700.40437,1386806419834.1274,80.3898293603811,0-12
75,2,3,36071241645.38321,9479317.138729839,41401903.30248334,157429550.8632129,3349750927279.0513,64009343556.47302,113440697.0869657,2393058859437.098,12646787374.92289,137284061439.59607,4589271138854.523,73274717883.12305,2196212279417.4253,179.4516607277416,0-12
75,2,4,37103415727.582634,9712933.841671498,42897816.49472766,160903666.29107922,3497217218300.2666,67992638429.816444,116694571.88530593,2504723448793.825,10196251278.55034,137284061439.59607,4589271138854.523,69291423009.77963,2084547690060.6982,211.2383320330157,0-12
75,2,5,25799712820.74912,6931616.660947236,29036948.51846426,109140246.06147459,2750226919194.565,51470713744.473206,79723564.36735427,1983635319579.1104,7822621884.091012,137284061439.59607,4589271138854.523,85813347695.12286,2605635819275.413,344.0597291867293,0-12
75,3,1,58492455463.70795,15720998.451045014,72865542.18557718,289953565.7855726,4251556036281.6836,86807460436.42561,204710108.32119438,3015005138098.6807,42101191878.00588,137284061439.59607,4589271138854.523,50476601003.170456,1574266000755.8428,38.59136830299088,0-18
75,3,2,38446277810.865425,10068723.66841351,47659772.53243988,174264866.17964804,3359154324046.657,67628418883.293274,124487833.98164554,2388903365868.698,33040416541.478416,137284061439.59607,4589271138854.523,69655642556.3028,2200367772985.825,68.70444301730811,0-18
75,3,3,19372649728.4122,5311085.506927405,23512906.772457585,83558217.90556373,2083885710756.356,40319009203.09422,60946610.82751404,1499952843270.991,24353858242.242054,137284061439.59607,4589271138854.523,96965052236.50185,3089318295583.532,130.83279520340594,0-18
75,3,4,19521818189.718445,5332739.921355794,23838246.802416887,84044605.21920684,2092529736987.7979,40723688594.781876,61506071.35204298,1510054359480.2231,19828398517.441685,137284061439.59607,4589271138854.523,96560372844.8142,3079216779374.3003,160.16306861220286,0-18
75,3,5,11917135708.603748,3218311.2817805433,14205666.146043157,50485842.652144946,1078634173915.8052,21436641366.574913,38138341.668877244,812735593950.5671,15088415054.851564,137284061439.59607,4589271138854.523,115847420073.02115,3776535544903.956,257.9716259677925,0-18
75,4,1,102572437647.6901,25708004.417004526,124165192.52504069,547632171.6608237,5536652018663.663,122818335461.5855,382689097.2616518,3971152586271.087,21108767597.037346,137284061439.59607,4589271138854.523,14465725978.010574,618118552583.4365,29.967845145551344,65+
75,4,2,101459388655.37405,24701051.301601663,121480994.04649329,534822704.9017782,5358834690635.921,119889014035.64482,374071044.0518948,3851740162069.3364,17856674700.746803,137284061439.59607,4589271138854.523,17395047403.95125,737530976785.187,42.276965719578556,65+
75,4,3,97466019236.85342,21152851.36581653,112005918.01173681,489541901.85199845,4677997456739.627,108791938596.72505,343563220.0409653,3387240537522.8623,14246761975.552242,137284061439.59607,4589271138854.523,28492122842.871017,1202030601331.6611,86.37209818526739,65+
75,4,4,99060397628.58653,22547874.21147237,115768924.7484712,507320910.127739,4967261967603.48,113538992420.52979,355621464.1485961,3589289345040.0645,12150106884.440035,137284061439.59607,4589271138854.523,23745069019.066284,999981793814.459,84.25661375411893,65+
75,4,5,94464396261.76506,18561163.189960465,105058355.05223294,456095105.87698555,4206848181427.332,101156964870.711,321134151.19899416,3071459084086.4795,9801922573.7434,137284061439.59607,4589271138854.523,36127096568.88507,1517812054768.044,158.53411814326057,65+
