country_code,simulation_index,age_grp,ifr,iso3c,itz
MDV,11,1,1.0207529527727255e-4,MDV,Eastern and Southern Asia
MMR,11,1,7.243289016846349e-5,MMR,Eastern and Southern Asia
MNG,11,1,4.294297356732574e-5,MNG,Eastern and Southern Asia
MYS,11,1,5.3949911640384156e-5,MYS,Eastern and Southern Asia
NPL,11,1,9.459744912512525e-5,NPL,Eastern and Southern Asia
PHL,11,1,1.3874840031519016e-4,PHL,Eastern and Southern Asia
PNG,11,1,3.373685228604906e-4,PNG,Eastern and Southern Asia
PRK,11,1,4.9918226390774405e-5,PRK,Eastern and Southern Asia
RUS,11,1,3.1945091335139227e-5,RUS,Eastern and Southern Asia
SGP,11,1,1.0987582682470951e-5,SGP,Eastern and Southern Asia
THA,11,1,4.585164957379907e-6,THA,Eastern and Southern Asia
TLS,11,1,6.181441895236625e-4,TLS,Eastern and Southern Asia
VNM,11,1,5.717474791008934e-5,VNM,Eastern and Southern Asia
JPN,11,1,2.109607805905604e-6,JPN,Eastern and Southern Asia
TWN,11,1,2.132036205537852e-6,TWN,Eastern and Southern Asia
BGD,12,1,1.895294921742406e-4,BGD,Eastern and Southern Asia
BRN,12,1,4.870915733837893e-6,BRN,Eastern and Southern Asia
BTN,12,1,2.1471543608819028e-4,BTN,Eastern and Southern Asia
CHN,12,1,2.116503579158593e-5,CHN,Eastern and Southern Asia
HKG,12,1,3.4408777348665307e-6,HKG,Eastern and Southern Asia
IDN,12,1,4.305034979571963e-4,IDN,Eastern and Southern Asia
IND,12,1,1.1016490659188866e-4,IND,Eastern and Southern Asia
KHM,12,1,6.659854620798192e-5,KHM,Eastern and Southern Asia
KOR,12,1,2.1575519015510176e-6,KOR,Eastern and Southern Asia
LAO,12,1,3.1540169846508995e-4,LAO,Eastern and Southern Asia
LKA,12,1,2.011105575238004e-5,LKA,Eastern and Southern Asia
MAC,12,1,4.038471256213876e-6,MAC,Eastern and Southern Asia
MDV,12,1,1.1978132636976785e-4,MDV,Eastern and Southern Asia
MMR,12,1,7.494425645852009e-5,MMR,Eastern and Southern Asia
MNG,12,1,2.7845036038829275e-5,MNG,Eastern and Southern Asia
MYS,12,1,2.3324649902546063e-4,MYS,Eastern and Southern Asia
NPL,12,1,1.635886729290363e-4,NPL,Eastern and Southern Asia
PHL,12,1,2.742344489650584e-4,PHL,Eastern and Southern Asia
PNG,12,1,1.2458644966936835e-4,PNG,Eastern and Southern Asia
PRK,12,1,6.633677196393858e-5,PRK,Eastern and Southern Asia
RUS,12,1,2.034032013096518e-5,RUS,Eastern and Southern Asia
SGP,12,1,1.4489426577646141e-5,SGP,Eastern and Southern Asia
THA,12,1,3.256285672467861e-5,THA,Eastern and Southern Asia
TLS,12,1,1.9797845993590663e-4,TLS,Eastern and Southern Asia
VNM,12,1,6.979092766574844e-5,VNM,Eastern and Southern Asia
JPN,12,1,2.9629868312701896e-6,JPN,Eastern and Southern Asia
TWN,12,1,2.0813273398273446e-6,TWN,Eastern and Southern Asia
BGD,13,1,0.0011959681345632847,BGD,Eastern and Southern Asia
BRN,13,1,1.053700194275193e-5,BRN,Eastern and Southern Asia
BTN,13,1,1.0893614171660194e-4,BTN,Eastern and Southern Asia
CHN,13,1,3.654001752701379e-5,CHN,Eastern and Southern Asia
HKG,13,1,3.294814481251028e-6,HKG,Eastern and Southern Asia
IDN,13,1,1.6716850731964903e-4,IDN,Eastern and Southern Asia
IND,13,1,1.2381631744072012e-4,IND,Eastern and Southern Asia
KHM,13,1,2.7837137255798264e-4,KHM,Eastern and Southern Asia
KOR,13,1,2.5803841285657675e-6,KOR,Eastern and Southern Asia
LAO,13,1,5.733383592740584e-4,LAO,Eastern and Southern Asia
LKA,13,1,8.303567292635261e-6,LKA,Eastern and Southern Asia
MAC,13,1,1.1061098862409864e-5,MAC,Eastern and Southern Asia
MDV,13,1,4.496523973714568e-5,MDV,Eastern and Southern Asia
MMR,13,1,2.144010272955161e-4,MMR,Eastern and Southern Asia
MNG,13,1,3.116323708920438e-5,MNG,Eastern and Southern Asia
MYS,13,1,1.2087281942995436e-4,MYS,Eastern and Southern Asia
NPL,13,1,4.294103731320661e-5,NPL,Eastern and Southern Asia
PHL,13,1,3.4466962695637357e-4,PHL,Eastern and Southern Asia
PNG,13,1,6.094905428769871e-5,PNG,Eastern and Southern Asia
PRK,13,1,4.123869456610888e-5,PRK,Eastern and Southern Asia
RUS,13,1,4.0059189360439415e-5,RUS,Eastern and Southern Asia
SGP,13,1,1.0812058491373304e-5,SGP,Eastern and Southern Asia
THA,13,1,3.56302967343004e-5,THA,Eastern and Southern Asia
TLS,13,1,2.513248402344652e-4,TLS,Eastern and Southern Asia
VNM,13,1,3.885064203447774e-5,VNM,Eastern and Southern Asia
JPN,13,1,2.2304869961880052e-6,JPN,Eastern and Southern Asia
TWN,13,1,4.02877963550675e-6,TWN,Eastern and Southern Asia
BGD,14,1,3.484194181849183e-4,BGD,Eastern and Southern Asia
BRN,14,1,1.264146464438215e-5,BRN,Eastern and Southern Asia
BTN,14,1,8.556943262789069e-5,BTN,Eastern and Southern Asia
CHN,14,1,1.8784694114799422e-5,CHN,Eastern and Southern Asia
HKG,14,1,3.791832127866928e-6,HKG,Eastern and Southern Asia
IDN,14,1,2.53924772380046e-4,IDN,Eastern and Southern Asia
IND,14,1,1.577238457693374e-4,IND,Eastern and Southern Asia
KHM,14,1,8.684735506334881e-4,KHM,Eastern and Southern Asia
KOR,14,1,1.149315493828447e-6,KOR,Eastern and Southern Asia
LAO,14,1,3.5836745736553575e-4,LAO,Eastern and Southern Asia
LKA,14,1,4.934644736502895e-5,LKA,Eastern and Southern Asia
MAC,14,1,6.845232107243975e-6,MAC,Eastern and Southern Asia
MDV,14,1,6.28410933861733e-5,MDV,Eastern and Southern Asia
MMR,14,1,2.0913039241441026e-4,MMR,Eastern and Southern Asia
MNG,14,1,3.122803141006146e-5,MNG,Eastern and Southern Asia
MYS,14,1,1.0083182720399688e-4,MYS,Eastern and Southern Asia
NPL,14,1,6.873077327996056e-5,NPL,Eastern and Southern Asia
PHL,14,1,1.1486296774091419e-4,PHL,Eastern and Southern Asia
PNG,14,1,2.2244007580397659e-4,PNG,Eastern and Southern Asia
PRK,14,1,3.400124303056508e-5,PRK,Eastern and Southern Asia
RUS,14,1,3.5935549286025695e-5,RUS,Eastern and Southern Asia
SGP,14,1,1.1226737874002876e-5,SGP,Eastern and Southern Asia
THA,14,1,4.817649688464397e-5,THA,Eastern and Southern Asia
TLS,14,1,1.1878556151942466e-4,TLS,Eastern and Southern Asia
VNM,14,1,4.401759183154249e-5,VNM,Eastern and Southern Asia
JPN,14,1,2.7153951487074843e-6,JPN,Eastern and Southern Asia
TWN,14,1,2.019125086377102e-6,TWN,Eastern and Southern Asia
BGD,15,1,3.14355585339467e-4,BGD,Eastern and Southern Asia
BRN,15,1,9.8099913306561e-6,BRN,Eastern and Southern Asia
BTN,15,1,3.330832406431958e-4,BTN,Eastern and Southern Asia
CHN,15,1,2.6056524775573937e-5,CHN,Eastern and Southern Asia
HKG,15,1,3.023078453007376e-6,HKG,Eastern and Southern Asia
IDN,15,1,2.97276462471397e-4,IDN,Eastern and Southern Asia
IND,15,1,1.3420059989459237e-4,IND,Eastern and Southern Asia
KHM,15,1,4.8829348400624454e-5,KHM,Eastern and Southern Asia
KOR,15,1,1.2914989467799268e-6,KOR,Eastern and Southern Asia
LAO,15,1,2.4350766644709818e-4,LAO,Eastern and Southern Asia
LKA,15,1,9.178371127727082e-6,LKA,Eastern and Southern Asia
MAC,15,1,1.4649926596267042e-5,MAC,Eastern and Southern Asia
MDV,15,1,1.99857778551143e-5,MDV,Eastern and Southern Asia
MMR,15,1,9.680367247343612e-5,MMR,Eastern and Southern Asia
